mountain,metres,feet,range,location_notes
Signalkuppe (Monte Rosa),"4,554","14,941","Pennine Alps, Switzerland-Italy",
Dom,"4,545","14,911","Pennine Alps, Switzerland",
Ras Dashen,"4,533","14,872",Ethiopia – Highest point in Ethiopia,
Eastern Liskamm (Lyskamm),"4,533","14,872","Pennine Alps, Switzerland-Italy",
Mount Bear,"4,521","14,833","Saint Elias Mountains, Alaska, US",
Mount Wilhelm,"4,509","14,793","Bismarck Range, Papua New Guinea",
Mount Karisimbi,"4,507","14,787","Virunga Mountains, Rwanda/DRC",
Mount Walsh,"4,507","14,787","Saint Elias Mountains, Canada",
Belukha Mountain,"4,506","14,783","Altay Mountains, Russia",
Weisshorn,"4,506","14,783","Pennine Alps, Switzerland",
Tebulosmta,"4,493","14,741","Caucasus Mountains, Georgia/Chechnya, Russia",
Täschhorn,"4,491","14,734","Pennine Alps, Switzerland",
Bazarduzu Dagi,"4,485","14,715",Azerbaijan,
Matterhorn,"4,478","14,692","Pennine Alps, Switzerland/Italy",
Mount Rutford,"4,477","14,688","Sentinel Range, Ellsworth Mountains, Antarctica",
Mont Maudit,"4,465","14,649","Mont Blanc massif, France/Italy",
Babis Mta,"4,454","14,613","Caucasus Mountains, Georgia/Russia",
Mount Shani,"4,451","14,603","Caucasus Mountains, Georgia/Russia",
Dena,"4,448","14,593",Zagros Mountains Iran,
Vladimir Putin Peak,"4,446","14,587","Kyrgyz Alatau, Kyrgyzstan",
Mount Hunter,"4,442","14,573","Alaska Range, Alaska, US",
Parrotspitze (Monte Rosa),"4,432","14,541","Pennine Alps, Switzerland-Italy",
La Malinche,"4,430","14,534","Cordillera Neovolcanica, Mexico",
Mount Whitney,"4,421","14,505","Sierra Nevada, California, US",
Mount Alverstone,"4,420","14,501","Saint Elias Mountains, Alaska, US/Yukon, Canada",
University Peak,"4,411","14,472","Saint Elias Mountains, Alaska, US",
Aello Peak,"4,403","14,446","Saint Elias Mountains, Alaska, US",
Mount Elbert,"4,402","14,442","Sawatch Range, Colorado, US",
Mount Massive,"4,395","14,419","Sawatch Range, Colorado, US",
Mount Harvard,"4,395","14,419","Sawatch Range, Colorado, US",
Mount Rainier,"4,392","14,409","Cascades, Washington, US",
Kholeno,"4,387","14,393","Alborz, Iran",
Mount Williamson,"4,382","14,377","Sierra Nevada, California, US",
Tavan Bogd Uul,"4,374","14,350","Bayan-Ölgii Province, Mongolia – Highest point in Mongolia",
Blanca Peak,"4,374","14,350","Rocky Mountains, Colorado, US",
La Plata Peak,"4,372","14,344","Sawatch Range, Colorado, US",
Mount Giluwe,"4,368","14,331",Papua New Guinea,
Burchula,"4,364","14,318","Caucasus Mountains, Georgia",
Uncompahgre Peak,"4,361","14,308","San Juan Mountains, Colorado, US",
Dent Blanche,"4,357","14,295","Pennine Alps, Switzerland",
Crestone Peak,"4,357","14,295","Sangre de Cristo Range, Colorado, US",
Mount Lincoln,"4,354","14,285","Mosquito Range, Colorado, US",
Azad Kuh,"4,355","14,288","Alborz, Iran",
Grays Peak,"4,350","14,272","Front Range, Colorado, US",
Mount Evans,"4,350","14,272","Front Range, Colorado, US",
Quandary Peak,"4,350","14,272","Tenmile Range, Colorado, US",
Lalveri,"4,350","14,272","Caucasus Mountains, Svaneti, Georgia",
Mount Antero,"4,349","14,268","Sawatch Range, Colorado, US",
Torreys Peak,"4,349","14,268","Front Range, Colorado, US",
Castle Peak,"4,348","14,265","Elk Mountains, Colorado, US",
Longs Peak,"4,345","14,255","Front Range, Colorado, US",
McArthur Peak,"4,344","14,252","Saint Elias Mountains, Yukon",
Mount Wilsion,"4,342","14,245","San Juan Mountains, Colorado, US",
White Mountain Peak,"4,342","14,245","White Mountains, California, US",
North Palisade,"4,341","14,242","Sierra Nevada, California, US",
Ludwigshöhe (Monte Rosa),"4,341","14,242","Pennine Alps, Switzerland-Italy",
Mount Shavano,"4,337","14,229","Sawatch Range, Colorado, US",
Colima,"4,330","14,206",Mexico,
Crestone Needle,"4,327","14,196","Sangre de Cristo Range, Colorado, US",
Mount Belford,"4,327","14,196","Sawatch Range, Colorado, US",
Mount Princeton,"4,327","14,196","Sawatch Range, Colorado, US",
Mount Shasta,"4,322","14,180","California, US",
Mount Elgon,"4,321","14,177",Uganda-Kenya,
Mount Bross,"4,320","14,173","Mosquito Range, Colorado, US",
Kit Carson Mountain,"4,318","14,167","Sangre de Cristo Range, Colorado, US",
Mount Wrangell,"4,317","14,163","Alaska, US",
Maroon Peak,"4,315","14,157","Elk Mountains, Colorado, US",
Tabeguache Peak,"4,315","14,157","Sawatch Range, Colorado, US",
El Diente Peak,"4,315","14,157","San Juan Mountains, Colorado, US",
Mount Sill,"4,314","14,154","Sierra Nevada, California, US",
Grand Combin,"4,313","14,150","Pennine Alps, Switzerland",
Mount Oxford (Colorado),"4,313","14,150","Sawatch Range, Colorado, US",
Mount Sneffels,"4,312","14,147","San Juan Mountains, Colorado, US",
Mount Democrat,"4,312","14,147","Mosquito Range, Colorado, US",
Capitol Peak,"4,307","14,131","Elk Mountains, Colorado, US",
Pikes Peak,"4,302","14,114","Front Range, Colorado, US",
Mount Russell,"4,296","14,094","Sierra Nevada, California, US",
Snowmass Mountain,"4,295","14,091","Elk Mountains, Colorado, US",
Lenzspitze,"4,294","14,088","Pennine Alps, Switzerland",
Mount Eolus,"4,292","14,081","San Juan Mountains, Colorado, US",
Windom Peak,"4,292","14,081","San Juan Mountains, Colorado, US",
Challenger Point,"4,292","14,081","Sangre de Cristo Range, Colorado, US",
Mount Columbia,"4,291","14,078","Sawatch Range, Colorado, US",
Mount Adishi,"4,290","14,075","Caucasus Mountains, Svaneti, Georgia",
Mount Augusta,"4,290","14,075","Saint Elias Mountains, Alaska, US",
Humboldt Peak (Colorado),"4,287","14,065","Sangre de Cristo Range, Colorado, US",
Split Mountain,"4,287","14,065","Sierra Nevada, California, US",
Mount Bierstadt,"4,286","14,062","Front Range, Colorado, US",
Diklosmta,"4,285","14,058","Caucasus Mountains, Tusheti, Georgia",
Sunlight Peak,"4,285","14,058","San Juan Mountains, Colorado, US",
Mount Sidley,"4,285","14,058","Volcanic Seven Summits, Antarctica",
Missouri Mountain,"4,282","14,049","Sawatch Range, Colorado, US",
Culebra Peak,"4,282","14,049","Colorado, US",
Handies Peak,"4,281","14,045","San Juan Mountains, Colorado, US",
Ellingwood Point,"4,280","14,042","Sangre de Cristo Range, Colorado, US",
Mount Lindsey,"4,280","14,042","Sangre de Cristo Range, Colorado, US",
Little Bear Peak,"4,279","14,039","Sangre de Cristo Range, Colorado, US",
Mount Sherman,"4,278","14,035","Mosquito Range, Colorado, US",
Redcloud Peak,"4,277","14,032","San Juan Mountains, Colorado, US",
Galeras,"4,276","14,029","Andes, Columbia",
Mount Langley,"4,275","14,026","Sierra Nevada, California, US",
Finsteraarhorn,"4,274","14,022","Bernese Alps, Switzerland",
Pyramid Peak,"4,273","14,019","Elk Mountains, Colorado, US",
Mount Tyndall,"4,273","14,019","Sierra Nevada, California, US",
Wilson Peak,"4,272","14,016","San Juan Mountains, Colorado, US",
Mount Muir,"4,272","14,016","Sierra Nevada, California, US",
San Luis Peak,"4,271","14,012","San Juan Mountains, Colorado, US",
Wetterhorn Peak,"4,271","14,012","San Juan Mountains, Colorado, US",
Middle Palisade,"4,271","14,012","Sierra Nevada, California, US",
Huron Peak,"4,269","14,006","Sawatch Range, Colorado, US",
Mount of the Holy Cross,"4,269","14,006","Sawatch Range, Colorado, US",
Thunderbolt Peak,"4,268","14,003","Sierra Nevada, California, US",
Sunshine Peak,"4,268","14,003","San Juan Mountains, Colorado, US",
Mount Strickland,"4,260","13,976","Saint Elias Mountains, Yukon, Canada",
Pigeon Peak,"4,259","13,973","San Juan Mountains, Colorado, US",
Mount Kennedy,"4,250","13,944","Saint Elias Mountains, Yukon, Canada",
Pointe Bayeux,"4,258","13,970","Graian Alps, Mont Blanc massif, France",
Mont Blanc du Tacul,"4,248","13,937","Graian Alps, Mont Blanc massif, France",
Stecknadelhorn,"4,241","13,914","Pennine Alps, Switzerland",
Avalanche Peak,"4,228","13,871","Saint Elias Mountains, Yukon, Canada",
Castor,"4,223","13,855","Pennine Alps, Switzerland",
Zinalrothorn,"4,221","13,848","Pennine Alps, Switzerland",
Volcán Tajumulco,"4,220","13,845",Guatemala,
Hohberghorn,"4,219","13,842","Pennine Alps, Switzerland",
Turret Peak,"4,217","13,835","Needle Mountains, Colorado, US",
Mount Darwin,"4,216","13,832","Sierra Nevada, California, US",
Mount Hayes,"4,216","13,832","Alaska, US",
Sacabaya,"4,215","13,829",Bolivia,
Grandes Jorasses,"4,208","13,806","Mont Blanc massif, France/Italy",
Gannett Peak,"4,208","13,806","Wind River Range, Wyoming, US",
Mauna Kea,"4,207","13,802","Hawaii, US",
Alphubel,"4,206","13,799","Pennine Alps, Switzerland",
Cofre de Perote,"4,201","13,783",Mexico,
Zard-Kuh,"4,200","13,780","Zagros Mountains, Iran",
Shah Alborz,"4,200","13,780","Alborz, Iran",
Rimpfischhorn,"4,199","13,776","Pennine Alps, Switzerland",
Grand Teton,"4,199","13,776","Teton Range, Wyoming, US",
Mount Cook,"4,196","13,766","Saint Elias Mountains, Canada/US",
Aletschhorn,"4,192","13,753","Bernese Alps, Switzerland",
Strahlhorn,"4,190","13,747","Pennine Alps, Switzerland",
Fremont Peak,"4,189","13,743","Wind River Range, Wyoming, US",
Mount Warren,"4,182","13,720","Wind River Range, Wyoming, US",
Mount Sidley,"4,181","13,717",Antarctica,
Mount Abbot,"4,180","13,714","California, US",
Dent d'Hérens,"4,171","13,684","Pennine Alps, Switzerland",
Mauna Loa,"4,171","13,684","Hawaii, US",
Jbel Toubkal,"4,167","13,671","Atlas Mountains, Morocco",
Mount Minto,"4,165","13,665",Antarctica,
Breithorn (Western Summit),"4,164","13,661","Pennine Alps, Switzerland/Italy",
Jungfrau,"4,158","13,642","Bernese Alps, Switzerland",
Bishorn,"4,153","13,625","Pennine Alps, Switzerland",
Mount Helen,"4,151","13,619","Wind River Range, Wyoming, US",
El Mela,"4,150","13,615","Andes, Argentina",
Mount Quincy Adams,"4,150","13,615","Fairweather Range, Canada/US",
Doublet Peak,"4,145","13,599","Wind River Range, Wyoming, US",
Turret Peak,"4,145","13,599","Wind River Range, Wyoming, US",
Mount Parnassus (Colorado),"4,137","13,573","Front Range, Rocky Mountains, Colorado, US",
Uludoruk (Reşko / Gelyaşin),"4,137","13,573","Cilo Daglari Hakkari, Turkey",
Mount Sacagawea,"4,136","13,570","Wind River Range, Wyoming, US",
Mount Dubois,"4,135","13,566","White Mountains, California, US",
Mount Muhabura,"4,127","13,540","Virunga Mountains, Musanze, Rwanda",
Kings Peak,"4,125","13,533","Uinta Range, Utah, US",
Aiguille Verte,"4,122","13,524","Mont Blanc massif, France",
Mount Bangeta,"4,121","13,520",Papua New Guinea,
Mount Dickerson,"4,120","13,517","Queen Alexandra Range, Antarctica",
Monte Tlaloc,"4,120","13,517","Mexican Volcanic Belt, Mexico – Archaeological ruins at summit",
Jackson Peak,"4,120","13,517","Wind River Range, Wyoming, US",
Cilo Dağı,"4,116","13,504","Cilo Range, Eastern Taurus, Turkey",
Mount Woodrow Wilson,"4,115","13,501","Wind River Range, Wyoming, US",
Aiguilles du Diable,"4,114","13,497","Graian Alps, Mont Blanc massif, France",
Bastion Peak,"4,113","13,494","Wind River Range, Wyoming",
Aiguille Blanche de Peuterey,"4,112","13,491","Mont Blanc massif, Italy",
Mönch,"4,107","13,474","Bernese Alps, Switzerland",
Mount Febbas,"4,105","13,468","Wind River Range, Wyoming, US",
Barre des Écrins,"4,102","13,458","Dauphiné Alps, France",
Mount Aragats,"4,095","13,435",Armenia,
Mount Cameroon,"4,095","13,435",Cameroon,
Mount Kinabalu,"4,095","13,435","Sabah, Malaysia – Highest in Malaysia",
Grizzly Peak D,"4,093","13,428","Front Range, Rocky Mountains, Colorado, US",
Pollux,"4,092","13,425","Pennine Alps, Switzerland",
Kīlauea,"4,091","13,422","Hawaii, US",
Mount Wade,"4,085","13,402","Prince Olav Mountains, Antarctica",
Nairamdal Peak,"4,082","13,392","Altai Mountains, Mongolia",
Mount Victoria,"4,072","13,360",Papua New Guinea,
Centennial Peak,"4,070","13,353","Prince Olav Mountains, Antarctica",
Gran Paradiso,"4,061","13,323","Graian Alps, Italy",
Ober Gabelhorn,"4,053","13,297","Pennine Alps, Switzerland",
Piz Bernina,"4,049","13,284","Bernina Alps, Switzerland",
Fiescherhorn,"4,049","13,284","Bernese Alps, Switzerland",
Grünhorn,"4,043","13,264","Bernese Alps, Switzerland",
Lauteraarhorn,"4,042","13,261","Bernese Alps, Switzerland",
Aiguille du Géant,"4,035","13,238","Graian Alps, Mont Blanc massif, France",
Mount Silverthrone,"4,030","13,222","Alaska Range, Alaska, US",
Mount Sniktau,"4,034","13,235","Front Range, Rocky Mountains, Colorado, US",
Azufral,"4,030","13,222",Colombia,
Allalinhorn,"4,027","13,212","Pennine Alps, Switzerland",
Wind River Peak,"4,021","13,192","Wind River Range, Wyoming, US",
Latsga,"4,019","13,186","Caucasus Mountains, Svaneti, Georgia",
Weissmies,"4,017","13,179","Pennine Alps, Switzerland",
Mount Waddington,"4,016","13,176","British Columbia, Canada",
Mount Marcus Baker,"4,016","13,176","Chugach Range, Alaska, US",
Dôme de neige des Écrins,"4,015","13,173","Dauphiné Alps, France",
Conejos Peak,"4,015","13,173","San Juan Mountains, Colorado, US",
Dent du Géant,"4,013","13,166","Mont Blanc massif, France/Italy",
Red Slate Mountain,"4,013","13,166","Sierra Nevada, California, US",
Cloud Peak,"4,013","13,166","Big Horn Mountains, Wyoming, US",
Wheeler Peak,"4,012","13,163","Sangre de Cristo Mountains, New Mexico, US",
Lagginhorn,"4,010","13,156","Pennine Alps, Switzerland",
Twilight Peak,"4,010","13,156","San Juan Mountains, Colorado, US",
Francs Peak,"4,009","13,153","Absaroka Range, Wyoming, US",
Mount Walter,"4,005","13,140","New Mexico, US",
Les Droites,"4,000","13,123","Mont Blanc massif, France",
Piz Zupò,"3,995","13,107","Bernina Range, Switzerland",
Truchas Peak,"3,994","13,104","Sangre de Cristo Mountains, New Mexico",
Fletschhorn,"3,993","13,100","Pennine Alps, Switzerland",
Mount Albert Edward,"3,990","13,091",Papua New Guinea,
La Meije,"3,987","13,081","Dauphiné Alps, France",
Wheeler Peak,"3,982","13,064","Snake Range, Nevada",
Mount Dana,"3,981","13,061",California,
Acatenango,"3,976","13,045",Guatemala,
Piz Roseg,"3,973","13,035","Bernina Range, Switzerland",
Piz Scerscen,"3,971","13,028","Bernina Range, Switzerland",
Eiger,"3,967","13,015","Bernese Oberland, Switzerland",
Mount Tochal,"3,964","13,005","Alborz, Iran",
Black Tooth Mountain,"3,964","13,005","Bighorn Mountains, Wyoming",
Grand Cornier,"3,962","12,999","Pennine Alps, Switzerland",
Mount Owen,"3,957","12,982","Teton Range, Wyoming",
Ailefroide,"3,954","12,972","Dauphiné Alps, France",
Mount Robson,"3,954","12,972",Highest point in the Canadian Rockies,
Descabezado Grande,"3,953","12,969",Chile,
Yu Shan (Mount Jade),"3,952","12,966",Highest point in Taiwan and East Asia,
Mont Pelvoux,"3,946","12,946","Dauphiné Alps, France",
Mount Julian,"3,940","12,927","Colorado, United States",
Mount Khalatsa,"3,938","12,920","Disputed, South Ossetia or Georgia",
Ajusco,"3,930","12,894",Mexico,
Mount Erciyes,"3,916","12,848","Central Anatolia, Turkey",
Bomber Mountain,"3,914","12,841","Bighorn Range, Wyoming, United States",
Pic Sans Nom,"3,919","12,858","Dauphiné Alps, France",
Jicarita Peak,"3,912","12,835","Sangre de Cristo Mountains, New Mexico",
Ortler,"3,905","12,812",Italy South Tyrol,
Piz Palü,"3,905","12,812","Bernina Range, Switzerland",
Middle Teton,"3,903","12,805","Teton Range, Wyoming",
Aiguille d'Argentière,"3,902","12,802","Mont Blanc massif, France/Switzerland",
Granite Peak,"3,901","12,799","Montana, US – Highest point",
Mount Gibbs,"3,893","12,772","Sierra Nevada, California, US",
Mount Crillon,"3,879","12,726","Fairweather Range, Alaska, US",
Mont Blanc de Cheilon,"3,870","12,697","Pennine Alps, Switzerland",
Aiguille du Goûter,"3,863","12,674","Graian Alps, Mont Blanc massif, France",
Borah Peak,"3,861","12,667","Idaho, US – Highest point",
Grande Casse,"3,855","12,648","Vanoise Massif, France",
Humphreys Peak,"3,852","12,638","Arizona, US – Highest point",
Santa Fe Baldy,"3,847","12,621","Sangre de Cristo Mountains, New Mexico",
Mount Baldwin,"3,845","12,615","Sierra Nevada, California, US",
Aiguille du Midi,"3,842","12,605","Graian Alps, Mont Blanc Massif, France",
Mount Moran,"3,842","12,605","Wyoming, US",
Monte Viso,"3,841","12,602",Italian Alps,
Sauyr Zhotasy,"3,840","12,598",Kazakhstan,
Mount Saramati,"3,826","12,552","Patkai Range, Nagaland, India",
Nesthorn,"3,822","12,539","Bernese Alps, Switzerland",
Cerro Chirripó,"3,820","12,533",Highest in Costa Rica,
Aiguille des Glaciers,"3,816","12,520","Mont Blanc massif, France/Italy",
South Teton,"3,814","12,513","Teton Range, Wyoming",
La Râteau,"3,809","12,497","Dauphiné Alps, France",
Mount Kerinci,"3,800","12,467",Highest volcano in Indonesia,
Grossglockner,"3,798","12,461",Austria – Highest point,
Pigne d'Arolla,"3,796","12,454","Pennine Alps, Switzerland",
Mount Erebus,"3,794","12,448",Antarctica – Southernmost active volcano,
Mont Pourri,"3,779","12,398","Vanoise Massif, France",
Mount Fuji,"3,776","12,388",Japan – Highest in Japan,
Wildspitze,"3,774","12,382",Austria,
Greenhorn Mountain,"3,763","12,346","Wet Mountains, Colorado, US",
Volcán de Fuego,"3,763","12,346",Guatemala,
Mount Villard,"3,760","12,336","Montana, US",
Teewinot Mountain,"3,757","12,326","Teton Range, Wyoming, US",
Aiguille du Dru,"3,754","12,316","Graian Alps, France",
Aoraki / Mount Cook,"3,754","12,316",New Zealand – Highest point in New Zealand,
Pointe de Charbonnel,"3,752","12,310","Graian Alps, France",
Piz Morteratsch,"3,751","12,306","Bernina Range, Switzerland",
Mount Davis,"3,750","12,303","California, US",
Mount Morrison,"3,750","12,303","California, US",
Mount Taibai,"3,750","12,303","Qin Mountains, China – Highest point east of Tibetan massif",
Aiguille de la Grande Sassière,"3,747","12,293","Graian Alps, France",
Lanín,"3,747","12,293","Andes,Chile/Argentina",
Mount Adams,"3,743","12,280","Cascade Range,Washington, US",
Mount Columbia,"3,747","12,293",Canadian Rockies – Highest in Alberta,
Mount Adams,"3,743","12,280","Washington, US",
Teepe Pillar,"3,739","12,267","Teton Range, Wyoming, US",
Weißkugel,"3,739","12,267","Alps, Austria/Italy",
Minarets,"3,735","12,254","Sierra Nevada, California",
Mount Huntington,"3,731","12,241","Alaska Range, Alaska, US",
Bedori Peak,"3,727","12,228","Forward Kahuta, Azad Kashmir, Pakistan",
Mount Rinjani,"3,726","12,224",Indonesia,
Cerro del Potosí,"3,721","12,208",Mexico,
Diamond Peak,"3,719","12,201","Idaho, US",
Teide,"3,718","12,198",Canary Islands – Highest in Spain,
Asperity Mountain,"3,716","12,192",Waddington Range,
Cerro de la Viga,"3,712","12,178",Mexico,
Delano Peak,"3,711","12,175","Utah, US - Highest peak in the Tushar Mountains",
Sahand,"3,707","12,162","East Azerbaijan, Iran",
Monte San Lorenzo,"3,706","12,159","Patagonia, Argentina-Chile",
Wetterhorn,"3,701","12,142","Bernese Alps, Switzerland",
Mount Valhalla,"3,699","12,136","Alaska, US",
Dent Parrachée,"3,697","12,129","Vanoise massif, France",
Gunnbjørn,"3,694","12,119",highest in Greenland,
North Twin Peak,"3,684","12,087",Canadian Rockies,
Monte Disgrazia,"3,678","12,067","Bregaglia, Switzerland",
Semeru,"3,676","12,060","Java, Indonesia",
Les Bans,"3,669","12,037","Ecrins, France",
Cloudveil Dome,"3,666","12,028","Teton Range, Wyoming, US",
Thor Peak,"3,666","12,028","Teton Range, Wyoming, United States",
Medicine Bow Peak,"3,661","12,011","Wyoming, US",
Hyndman Peak,"3,660","12,008","Idaho, US",
Mount Clemenceau,"3,658","12,001",Canadian Rockies,
Mount Frakes,"3,654","11,988","Crary Mountains, Antarctica",
Grande Motte,"3,653","11,985","Vanoise Massif, France",
Sierra Blanca,"3,652","11,982","Sacramento Mountains, New Mexico",
Pointe de la Fournache,"3,642","11,949","Vanoise massif, France",
Buck Mountain,"3,639","11,939","Teton Range, Wyoming",
Mount Nebo,"3,636","11,929","Utah, US",
Mount Charleston,"3,632","11,916","Nevada, US",
Hintere Schwärze,"3,628","11,903","Ötztal Alps, Austria/Italy",
Nez Perce Peak,"3,627","11,900","Teton Range, Wyoming, US",
Mount Alberta,"3,619","11,873",Canadian Rockies,
Mount Assiniboine,"3,618","11,870",Canadian Rockies,
Tödi,"3,614","11,857",Swiss Alps,
Mount Forbes,"3,612","11,850",Canadian Rockies,
Lautaro,"3,607","11,834","Patagonia, Chile",
Dôme de la Sache,"3,601","11,814","Vanoise massif, France",
Castle Peak,"3,601","11,814","Idaho, US",
Dôme de l'Arpont,"3,601","11,814","Vanoise massif, France",
Dôme de Chasseforêt,"3,586","11,765","Vanoise massif, France",
Makra Peak,"3,586","11,765",Pakistan,
Sierra Velluda,"3,585","11,762",Chile,
Grand Roc Noir,"3,582","11,752","Vanoise massif, France",
Mount Timpanogos,"3,582","11,752","Utah, United States",
Mount Alvand,"3,580","11,745","Hamedan, Iran",
Dôme des Nants,"3,570","11,713","Vanoise massif, France",
Ryan Peak,"3,570","11,713","Idaho, US",
South Twin Peak,"3,566","11,699",Canadian Rockies,
Olan,"3,564","11,693","Ecrins, France",
Aiguille de Péclet,"3,561","11,683","Vanoise massif, France",
Presanella,"3,558","11,673","Adamello-Presanella, Italy",
Mount Steere,"3,558","11,673",Antarctica,
Monarch Mountain,"3,555","11,663","Pacific Ranges, British Columbia, Canada",
Monte Leone,"3,552","11,654","Lepontine Alps, Switzerland",
Mont Turia,"3,550","11,647","Vanoise massif, France",
Mount Temple,"3,543","11,624",Canadian Rockies,
Disappointment Peak,"3,541","11,617","Teton Range, Wyoming",
Mount Woodring,"3,533","11,591","Teton Range, Wyoming",
Aiguille de Polset,"3,531","11,585","Vanoise Massif, France",
Snow Dome,"3,520","11,549",Canadian Rockies,
Aiguilles d'Arves,"3,515","11,532","Arve Massif, France",
Mount Ellen (Utah),"3,513","11,526","Henry Mountains, Utah, US – Last surveyed mountain range in US lower 48 states",
Mont de Gébroulaz,"3,511","11,519","Vanoise massif, France",
Mount San Gorgonio,"3,505","11,499","California, US",
Mount Kitchener,"3,505","11,499",Canadian Rockies,
Zuckerhütl,"3,505","11,499","Stubai Alps, Austria",
Mount Wister,"3,502","11,490","Teton Range, Wyoming",
Mount Saskatchewan,"3,500","11,483","Yukon, Canada",
Mount Tasman,"3,497","11,473","Southern Alps, New Zealand",
Mount Hungabee,"3,492","11,457",Canadian Rockies,
Mount Athabasca,"3,491","11,453",Canadian Rockies,
Tronador,"3,491","11,453",Chile/Argentina,
Mount Saint John,"3,484","11,430","Teton Range, Wyoming",
Thabana Ntlenyana,"3,482","11,424","Drakensberg, Africa",
Pointes du Châtelard,"3,479","11,414","Vanoise massif, France",
Mulhacén,"3,479","11,414",Spain – Highest in continental Spain,
Mount Berlin,"3,478","11,411","Flood Range, Antarctica",
Mount Pennell,"3,478","11,411","Henry Mountains, Utah, US.",
Volcán Barú,"3,475","11,401","Chiriquí, Panama",
Koh-i-Takatu Sraghurgai,"3,472","11,391","Quetta Sraghurgai, Suleman Range, Pakistan – 2nd Highest Peak in Balochistan Province",
Roc des Saints Pères,"3,470","11,385","Vanoise massif, France",
Mount Brazeau,"3,470","11,385",Canadian Rockies,
Mount Nyiragongo,"3,470","11,385","Virunga Mountains, DRC",
Ruby Dome,"3,470","11,385","Ruby Mountains, Nevada",
Roche de la Muzelle,"3,465","11,368","Dauphine Alps, France",
Mount Victoria,"3,464","11,365",Canadian Rockies,
Abajo Peak,"3,463","11,362","Abajo Mountains, Utah",
Eagle Peak,"3,462","11,358","Absaroka Range, Wyoming, United States",
Doane Peak,"3,461","11,355","Teton Range, Wyoming, US",
Ranger Peak,"3,461","11,355","Teton range, Wyoming, US",
Cerro de la Muerte,"3,451","11,322",Second highest in Costa Rica,
Furgghorn,"3,451","11,322","Pennine Alps, Switzerland",
Mafadi,"3,450","11,319","Drakensberg, South Africa",
Mount Andromeda,"3,450","11,319",Canadian Rockies,
Boulder Mountain,"3,449","11,316","Utah, US. Highest timbered plateau in N America",
Mount Joffre,"3,449","11,316",Canadian Rockies,
Hilgard Peak,"3,449","11,316","Madison Range, Montana, US",
Static Peak,"3,445","11,302","Teton Range, Wyoming, US",
Thousand Lake Mountain,"3,444","11,299","Utah, US",
Pointe de la Sana,"3,436","11,273","Vanoise massif, France",
