mountain,metres,feet,range,location_notes
Eagles Rest Peak,"3,431","11,257","Teton Range, Wyoming, US",
Irazú Volcano,"3,431","11,257",Costa Rica,
Mount Hood,"3,429","11,250","Cascade Range, Oregon, US",
Verpeilspitze,"3,425","11,237",Austria,
Deltaform Mountain,"3,424","11,234",Canadian Rockies,
Mount Lefroy,"3,423","11,230",Canadian Rockies,
Pointe de l'Échelle,"3,422","11,227","Vanoise massif, France",
Pointe du Bouchet,"3,420","11,220","Vanoise massif, France",
Mount Fitzgerald,"3,418","11,214","Ruby Mountains, Nevada, US",
Bellecôte,"3,417","11,211","Vanoise massif, France",
Crazy Peak,"3,417","11,211","Montana, US",
Emi Koussi,"3,415","11,204","Tibesti Mountains, Chad",
Piz Linard,"3,410","11,188",Switzerland,
Mount Woolley,"3,405","11,171",Canadian Rockies,
Aneto,"3,404","11,168","Pyrenees, Spain – Highest in Pyrenees",
Lone Mountain,"3,404","11,168","Madison Range, Montana, US",
Fluchthorn,"3,399","11,152","Silvretta, Austria-Switzerland",
Grand Bec,"3,398","11,148","Vanoise massif, France",
Rockchuck Peak,"3,397","11,145","Teton Range, Wyoming",
Pico Veleta,"3,396","11,142","Sierra Nevada, Spain – Location of the highest road in Europe",
Mount Hector,"3,394","11,135",Canadian Rockies,
Piz Platta,"3,392","11,129",Swiss Alps,
Telescope Peak,"3,392","11,129",Death Valley,
Champagne Castle,"3,377","11,079","Drakensberg, South Africa",
Pic Uzu,"3,376","11,076","Tibesti, Libya-Chad",
Cerro Chaltén,"3,375","11,073","Patagonia, Argentina-Chile",
Mount Spurr,"3,374","11,070",Alaska,
Pointe du Vallonnet,"3,372","11,063","Vanoise massif, France",
Mammoth Mountain,"3,371","11,060",California,
Fründenhorn,"3,369","11,053","Bernese Alps, Switzerland",
Pointe Renod,"3,368","11,050","Vanoise massif, France",
Traverse Peak,"3,368","11,050","Teton Range, Wyoming",
Mount Edith Cavell,"3,363","11,033",Canadian Rockies,
Dôme des Sonnailles,"3,361","11,027","Vanoise massif, France",
Valvelspitze,"3,360","11,024",Austria,
Mount Agepsta,"3,357","11,014","Gagra Range, Abkhazia, Georgia",
Mount Munday,"3,356","11,010","Pacific Ranges, B.C., Canada",
Pointe de Claret,"3,355","11,007","Vanoise massif, France",
Monte Perdido,"3,355","11,007",Pyrenees,
Electric Peak,"3,343","10,968","Gallatin Range, Montana",
Marmolada,"3,343","10,968","Dolomites, Italy – Highest mountain of the Dolomites",
Mount Saskatchewan,"3,342","10,965",Canadian Rockies,
Cerro Fábrega,"3,335","10,942","Bocas Del Toro, Panama",
Ward Mountain,"3,333","10,935","Nevada, US",
Pointe de Méan Martin,"3,330","10,925","Vanoise massif, France",
Mount Etna,"3,329","10,922","Metropolitan City of Catania, Italy",
Dôme de Polset,"3,326","10,912","Vanoise massif, France",
Cathedral Peak,"3,326","10,912","California, US",
Raynolds Peak,"3,325","10,909","Teton Range, Wyoming",
Rolling Thunder Mountain,"3,324","10,906","Teton Range, Wyoming",
Mount Hampton,"3,323","10,902",Antarctica,
Dôme des Pichères,"3,319","10,889","Vanoise massif, France",
Grand Roc,"3,316","10,879","Vanoise massif, France",
Giant's Castle,"3,315","10,876","Drakensberg, South Africa",
Sunwapta Peak,"3,315","10,876",Canadian Rockies,
Piz Buin,"3,312","10,866","Silvretta, Austria-Switzerland",
Mount Ball,"3,311","10,863",Canadian Rockies,
Piz Badile,"3,308","10,853","Bregaglia, Switzerland",
Mount Chephren,"3,307","10,850",Canadian Rockies,
Ağ Dağ,"3,306","10,846","Bozgush mountain range, East Azerbaijan, Iran",
San Jacinto Peak,"3,302","10,833","California, US",
Didi Abuli,"3,301","10,830",Georgia,
Silberhorn,"3,300","10,827","Southern Alps, New Zealand",
Bivouac Peak,"3,299","10,823","Teton Range, Wyoming",
Mount Wilbur,"3,298","10,820","Fairweather Range, Alaska, US",
Monte Argentera,"3,297","10,817","Maritime Alps, Italy",
Mount Rose (Nevada),"3,287","10,784","Carson Range, Nevada",
Mount Samsari,"3,285","10,778","Abul-Samsari Range, Georgia",
Roche Chevrière,"3,281","10,764","Vanoise massif, France",
Habicht,"3,277","10,751","Stubai Alps, Austria",
Thompson Peak,"3,277","10,751","Idaho, US",
Pointe de Thorens,"3,266","10,715","Vanoise massif, France",
Mount Cramer,"3,266","10,715","Idaho, US",
Toussidé,"3,265","10,712","Tibesti Mountains, Chad-Libya",
Antelao,"3,264","10,709","Dolomites, Italy",
Mont Pelve,"3,261","10,699","Vanoise massif, France",
Mount Stanley Baldwin,"3,256","10,682","Columbia Mountains, B.C., Canada",
Sandia Crest,"3,255","10,679","New Mexico, US",
Épaule du Bouchet,"3,250","10,663","Vanoise massif, France",
Mount Smythe,"3,246","10,650",Canadian Rockies,
Wildstrubel,"3,243","10,640","Bernese Alps, Switzerland",
Williams Peak,"3,242","10,636","Idaho, US",
Mount Hope,"3,239","10,627","Highest British mountain, British Antarctic Territory",
Titlis,"3,238","10,623","Bernese Alps, Switzerland",
Owl Peak,"3,235","10,614","Teton Range, Wyoming",
Mount Mackenzie King,"3,234","10,610","Cariboo Mountains, B.C., Canada",
Pointe des Buffettes,"3,233","10,607","Vanoise massif, France",
Lisenser Spitze,"3,230","10,597","Stubai Alps, Austria",
Mount Terror,"3,230","10,597",Antarctica,
Aiguille Rouge,"3,227","10,587","Vanoise massif, France",
Monte Civetta,"3,220","10,564","Dolomites, Italy",
Symmetry Spire,"3,219","10,561","Teton Range, Wyoming",
Glacier Peak,"3,213","10,541","Washington, US",
Pointe du Dard,"3,212","10,538","Vanoise massif, France",
Mount Binalud,"3,211","10,535","Alborz, Iran",
Pointe de la Réchasse,"3,206","10,518","Vanoise massif, France",
Mount Jefferson,"3,204","10,512","Montana, US",
Mount Jefferson,"3,199","10,495","Cascade Range, Oregon, US",
Dreiländerspitze,"3,197","10,489","Silvretta, Austria-Switzerland",
Mount Kita,"3,193","10,476","Akaishi Mountains, Japan",
Mount Hotaka,"3,190","10,466","Hida Mountains, Japan",
Mount Cleveland,"3,190","10,466","Montana, US",
Ainodake,"3,189","10,463","Akaishi Mountains, Japan",
Lassen Peak,"3,189","10,463","California, US",
Mount Galatea,"3,185","10,449","Kananaskis Range, Alberta, Canada",
Rendezvous Mountain,"3,185","10,449","Teton Range, Wyoming, US",
Saviers Peak,"3,182","10,440","Idaho, US",
Mount Yari,"3,180","10,433","Hida Mountains, Japan",
Kendrick Peak,"3,178","10,427","San Francisco Peaks, USA",
Kendrick Peak,"3,178","10,427","San Francisco Peaks, USA",
Parícutin,"3,170","10,400",Mexico,
Mount Aylmer,"3,162","10,374",Canadian Rockies,
South Sister,"3,157","10,358","Cascade Range, Oregon, US",
Stanley Peak,"3,155","10,351","Ball Range, Canadian Rockies",
Jøkulkyrkja,"3,148","10,328",Antarctica,
Pica d'Estats,"3,143","10,312","Spanish–French border, Pyrenees",
Phan Xi Păng,"3,143","10,312","Sa pa, Vietnam",
Mount Arakawa,"3,141","10,305","Akaishi Mountains, Japan",
Gray Peak,"3,140","10,302","Yellowstone National Park, Wyoming, US",
Mount Heyburn,"3,139","10,299","Idaho, US",
Mount Washburn,"3,122","10,243","Yellowstone National Park, Wyoming, US",
Mount Collie,"3,116","10,223",Canadian Rockies,
Mount Siple,"3,110","10,203",Antarctica,
Pirchinassi,"3,110","10,203",Muzaffarabad Azad Kashmir,
Mount Redoubt,"3,108","10,197","Alaska, US",
Mount Babel,"3,101","10,174","Bow Range, Alberta, Canada",
Mount Emei,"3,099","10,167",China,
Pico Duarte,"3,098","10,164",Dominican Republic,
Trapper Peak,"3,096","10,157","Montana, US",
Storm Mountain,"3,095","10,154",Canadian Rockies,
Mount Blackmore,"3,094","10,151","Montana, US",
Mount Stimson,"3,091","10,141","Montana, US",
Mol Len,"3,088","10,131","Patkai Range, Nagaland-India/Burma<http://www.peaklist.org/WWlists/ultras/burma.html>",
Qurnat as Sawdā’,"3,088","10,131",Lebanon,
Mount Richardson,"3,086","10,125",Canadian Rockies,
Kintla Peak,"3,079","10,102","Livingston Range, Montana, US",
Mount Moulton,"3,078","10,098",Antarctica,
Smoky Dome,"3,077","10,095","Idaho, US",
Jebel akthar,"3,075","10,089",Oman,
North Sister,"3,074","10,085","Cascade Range, Oregon, US",
Piton des Neiges,"3,069","10,069","Réunion, France",
Mount San Antonio,"3,068","10,066","San Gabriel Mountains, California, US",
Mount Ontake,"3,067","10,062",Japan,
Mount Jackson,"3,064","10,052","Lewis Range, Montana, US",
Middle Sister,"3,062","10,046","Cascade Range, Oregon, US",
Mount Wutai,"3,061","10,043","Shanxi, China",
Mount Nyamuragira,"3,058","10,033",Democratic Republic of the Congo,
Haleakala,"3,057","10,030","Hawaii, US",
Crowfoot Mountain,"3,055","10,023",Canadian Rockies,
Mount Chester,"3,054","10,020",Canadian Rockies,
Mount Siyeh,"3,052","10,013","Montana, US",
Mount Merritt,"3,049","10,003","Montana, US",
Cerro de Coxóm,"3,045","9,990",Guatemala,
Parseierspitze,"3,036","9,961",Austria,
Mount Senjō,"3,033","9,951","Akaishi Mountains, Japan",
Mount Aspiring/Tititea,"3,033","9,951",New Zealand,
Kinnerly Peak,"3,031","9,944","Montana, US",
Mount Agung,"3,031","9,944","Bali, Indonesia",
Mount McArthur,"3,021","9,911",Canadian Rockies,
Mount Norikura,"3,026","9,928","Hida Mountains, Japan",
Tsiteli Khati,"3,026","9,928","Kharuli Range, Georgia",
Mount Tate,"3,015","9,892","Hida Mountains, Japan",
Mount Japvo,"3,014","9,888","Barail Range, Nagaland, India<http://www.peaklist.org/WWlists/ultras/burma.html>",
Mount Tahat,"3,003","9,852",Algeria – Highest,
Sapitwa,"3,002","9,849","Mulanje Massif, Malawi",
The Fortress,"3,000","9,843",Canadian Rockies,
Tre Cime di Lavaredo,"2,999","9,839",Province of Belluno Italy,
Pizzo Centrale,"2,999","9,839",Switzerland,
Cascade Mountain,"2,998","9,836","Vermillion Range, Canadian Rockies, Canada",
Copahue,"2,997","9,833","Andes, Argentina/Chile",
Mount Girouard,"2,985","9,793","Fairholme Range, Canadian Rockies, Canada",
Pico da Neblina,"2,994","9,823","Serra do Imeri, Amazonas, Brazil – Highest",
Mount Whyte,"2,983","9,787","Bow Range, Canadian Rockies, Canada",
Miranjani,"2,980","9,777",Pakistan,
Forellen Peak,"2,979","9,774","Teton Range, Wyoming, US",
Mount Andrus,"2,978","9,770","Ames Range, Antarctica",
Mount Niblock,"2,976","9,764","Bow Range, Canadian Rockies, Canada",
Pico 31 de Março,"2,973","9,754","Serra do Imeri, Amazonas, Brazil",
Keele Peak,"2,972","9,751","Mackenzie Mountains, Yukon, Canada",
Mount Odin,"2,970","9,744","Monashee Mountains, B.C., Canada",
Schilthorn,"2,970","9,744","Bernese Alps, Switzerland",
Mount Tallac,"2,968","9,738","Sierra Nevada, California, US",
Mount Inglismaldie,"2,964","9,724","Fairholme Range, Canadian Rockies, Canada",
Mount Ramelau,"2,963","9,721",Highest in East Timor,
Zugspitze,"2,962","9,718",Germany – Highest,
Slide Mountain (Nevada),"2,957","9,701","Carson Range, Nevada",
Little Alberta,"2,956","9,698","Sir Winston Churchill Range, Canadian Rockies, Canada",
Mount Arfak,"2,955","9,695","Arfak Mountains, West Papua, Indonesia",
Iron Mountain,"2,955","9,695","Soldier Mountains, Idaho, US",
Apo,"2,954","9,692",Philippines – Highest,
Fossil Mountain,"2,946","9,665","Banff NP, Alberta, Canada",
Coma Pedrosa,"2,942","9,652","Pyrenees, Andorra – Highest",
Going to the Sun Mountain,"2,939","9,642","Lewis Range, Montana, US",
Fishers Peak,"2,936","9,633","Raton Mesas, Colorado-New Mexico, US",
Pilot Mountain,"2,935","9,629","Massive Range, Canadian Rockies, Canada",
Uri Rotstock,"2,928","9,606",Switzerland,
Musala,"2,925","9,596","Rila Mountain, Bulgaria – Highest",
Mount Pulag,"2,926","9,600",Philippines,
Mount Olympus,"2,917","9,570","Thessaly/Macedonia, Greece – Highest",
Vihren,"2,914","9,560","Pirin Mountain, Bulgaria",
Mount Gould,"2,912","9,554","Montana, US",
Corno Grande,"2,912","9,554",Abruzzo Italy,
Mount Blakiston,"2,910","9,547","Flathead Range, Canadian Rockies, Canada",
Puigmal,"2,909","9,544","Spanish–French border, Pyrenees",
Kutelo,"2,908","9,541","Pirin Mountain, Bulgaria",
Mount Sas dla Crusc,"2,907","9,537","Dolomites, Italy",
Chutine Peak,"2,903","9,524","Coast Range, British Columbia, Canada",
Malka Musala,"2,902","9,521","Rila Mountain, Bulgaria",
Rising Wolf Mountain,"2,900","9,514","Lewis Range, Montana, US",
Bonanza Peak,"2,899","9,511","Cascade Range, Washington, US",
Mount McLoughlin,"2,894","9,495","Mount McLoughlin, Oregon, US",
Pic de Sanfonts,"2,894","9,495","Pyrenees, Andorra",
Pico da Bandeira,"2,892","9,488","Serra do Caparaó, Minas Gerais/Espírito Santo, Brazil",
Collarada,"2,886","9,469","Pyrenees, Spain",
Banski Suhodol,"2,884","9,462","Pirin Mountain, Bulgaria",
Boardman Peak,"2,882","9,455","Soldier Mountains, Idaho, US",
Mount Wrightson,"2,882","9,455","Santa Rita Mountains, Arizona, US",
Lembert Dome,"2,880","9,449","California, US",
Sacajawea Peak,"2,876","9,436","Wallowa Mountains, Oregon, US",
Mount Stuart,"2,869","9,413","Cascades, Washington, US",
Mount Fisht,"2,867","9,406","Adygea, Russia",
Mount Silverthrone,"2,865","9,400","British Columbia, Canada",
Mount Baden-Powell,"2,864.75","9,399","San Gabriel Mountain, California, US",
Triglav,"2,864","9,396",Slovenia – Highest,
Mount Saint Nicholas,"2,858","9,377","Montana, US",
Irechek,"2,852","9,357","Rila Mountain, Bulgaria",
Polezhan,"2,851","9,354","Pirin Mountain, Bulgaria",
Mount Wilbur,"2,841","9,321","Montana, US",
Pico do Fogo,"2,829","9,281",Cape Verde – Highest,
Kamenitsa,"2,822","9,259","Pirin Mountain, Bulgaria",
Bayuvi dupki,"2,820","9,252","Pirin Mountain, Bulgaria",
Mount Fernow,"2,819","9,249","Washington, US",
Mount Hermon,"2,814","9,232",Syria and Lebanon; a subpeak on its southern slopes is within the Israeli-occupied Golan Heights region,
Mount Deakin,"2,810","9,219",Antarctica,
Mount Cory,"2,802","9,193","Alberta, Canada",
Mount Thielsen,"2,799","9,183","Cascades, Oregon, US",
Pedra da Mina,"2,798","9,180","Serra da Mantiqueira, Minas Gerais/São Paulo, Brazil",
Mount Ruapehu,"2,797","9,177","Tongariro National Park, North Island, New Zealand",
Copper Mountain,"2,795","9,170","Alberta, Canada",
Maiella,"2,793","9,163",Abruzzo Italy,
Pico das Agulhas Negras,"2,792","9,160","Serra do Itatiaia, Minas Gerais/Rio de Janeiro, Brazil",
Deno,"2,790","9,154","Rila Mountain, Bulgaria",
Hayes Volcano,"2,788","9,147","Alaska, US",
Mount Edziza,"2,787","9,144","British Columbia, Canada",
Canigou,"2,784","9,134","Pyrenees, France",
Mount Weaver,"2,780","9,121",Antarctica,
Buckner Mountain,"2,778","9,114","Washington, US",
Mount Longonot,"2,776","9,108","Great Rift Valley, Kenya",
Seven Fingered Jack,"2,774","9,101","Washington, US",
Mount Nirvana,"2,773","9,098","Northwest Territories, Canada",
Pico do Cristal,"2,770","9,088","Serra do Caparaó, Minas Gerais, Brazil",
Chief Mountain,"2,768","9,081","Montana, US",
Ovcharets,"2,768","9,081","Rila Mountain, Bulgaria",
Lincoln Peak,"2,768","9,081","Washington, US",
Castle Mountain,"2,766","9,075","Canadian Rockies, Canada",
Pyramid Mountain,"2,766","9,075","Canadian Rockies, Canada",
Mount Bachelor,"2,764","9,068","Formerly Bachelor Butte, Cascade Mountains, Oregon, US",
Mount Korab,"2,764","9,068",North Macedonia & Albania – Highest,
Yalovarnika,"2,763","9,065","Pirin Mountain, Bulgaria",
Gazey,"2,761","9,058","Pirin Mountain, Bulgaria",
Mount Sir James MacBrien,"2,759","9,052",Canada,
Kaymakchal,"2,753","9,032","Pirin Mountain, Bulgaria",
Mount Olympus,"2,751","9,026","Utah, US",
Todorka,"2,746","9,009","Pirin Mountain, Bulgaria",
Mawson Peak,"2,745","9,006",Highest in Australian Antarctic Territory,
Fairview Mountain,"2,744","9,003","Bow Range, Canadian Rockies, Canada",
Mount Baekdu,"2,744","9,003",North Korea/China Highest in North Korea,
Škrlatica,"2,740","8,990","Julian Alps, Slovenia",
Monte Roraima,"2,739","8,986","Serra de Pacaraima, Roraima, Brazil",
Heavens Peak,"2,739","8,986","Montana, US",
Mount Spickard,"2,737","8,980","North Cascades, US",
Banderishki Chukar,"2,732","8,963","Pirin Mountain, Bulgaria",
Mount Melbourne,"2,732","8,963",Antarctica,
Cerro El Pital,"2,730","8,957",El Salvador – Highest,
Mount Redoubt,"2,730","8,957","Washington, US",
Dzhengal,"2,730","8,957","Pirin Mountain, Bulgaria",
Malyovitsa,"2,729","8,953","Rila Mountain, Bulgaria",
Pizzo di Claro,"2,727","8,947","Ticino, Switzerland",
Mount Morning,"2,723","8,934",Antarctica,
Phu Xai Lai Leng,"2,720","8,924",Laos,
Serles,"2,718","8,917","Stubai Alps, Austria",
Watzmann,"2,713","8,901","Bavarian Alps, Germany",
Boston Peak,"2,711","8,894","Washington, US",
Schiahorn,"2,709","8,888",Switzerland,
Grotto Mountain,"2,706","8,878","Canadian Rockies, Canada",
Mount Haku,"2,702","8,865","Ryōhaku Mountains, Japan",
Eldorado Peak,"2,701","8,862","Washington, US",
Anaimudi,"2,695","8,842","Kerala, India – #1 in Western Ghats, India",
Maja Jezerce,"2,694","8,839","#1 in Dinaric Alps, Albania",
Half Dome,"2,693","8,835","Sierra Nevada, California, US",
Mount Louis,"2,682","8,799","Alberta, Canada",
Mount Discovery,"2,681","8,796",Antarctica,
Morro do Couto,"2,680","8,793","Serra das Prateleiras, Rio de Janeiro, Brazil",
Pic de la Selle,"2,680","8,793",Haiti,
Mount Garibaldi,"2,678","8,786","British Columbia, Canada",
Bashliyski Chukar,"2,670","8,760","Pirin Mountain, Bulgaria",
Pedra do Sino,"2,670","8,760","Serra dos Órgãos, Rio de Janeiro, Brazil",
Guadalupe Peak,"2,667","8,750","Guadalupe Mountains, Texas – Highest in Texas",
Gjeravica,"2,656","8,714","Prokletije Mountains, Kosovo – Highest in Kosovo",
Großer Krottenkopf,"2,656","8,714","Allgäu Alps, Tyrol, Austria",
Pic del Port Vell,"2,655","8,711","Pyrenees, Andorra",
Gerlachov Peak,"2,655","8,711","High Tatras, Slovakia",
Mount Michelson,"2,652","8,701","Chugach Mountains, Alaska, US",
Torre Cerredo,"2,650","8,694","Picos de Europa, Spain – Highest in Picos de Europa",
Mount St. Piran,"2,649","8,691","Bow Range, Alberta, Canada",
Mount Meager,"2,645","8,678","British Columbia, Canada",
Mount Trus Madi,"2,642","8,668","Trus Madi Range, Sabah, Malaysia – No. 2 in Malaysia",
Meesapulimala,"2,640","8,661","Tamil Nadu/Kerela, India",
Doddabetta,"2,637","8,652","Tamil Nadu, India",
Piton de la Fournaise,"2,631","8,632",Réunion,
Mount Crean,"2,630","8,629",Victoria Land,
Naina Peak (China Peak),"2,619","8,593","India, Uttarakhand",
Cardinal Peak,"2,618","8,589","Washington, US",
Peña Vieja,"2,617","8,586","Picos de Europa, Cantabria, Spain",
Barbeau Peak,"2,616","8,583","Nunavut, Canada – Highest in Nunavut",
Pelister Peak,"2,601","8,533",North Macedonia,
Pico Almanzor,"2,592","8,504",Spain,
Mount Currie,"2,591","8,501","BC, Canada",
Pizzo Molare,"2,585","8,481","Ticino, Switzerland",
Mount Tavkvetili,"2,583","8,474",Georgia,
Mount Tambuyukon,"2,579","8,461","Sabah, Malaysia",
Argonaut Peak,"2,576","8,451","Washington, US",
Doi Inthanon,"2,565","8,415",Thailand – Highest in Thailand,
Cooke's Peak/Cook's Peak,"2,563","8,409","New Mexico, US",
Pic dels Aspres,"2,562","8,406","Pyrenees, Andorra",
Ledyanaya,"2,562","8,406",Russia – Highest of the Koryak Mountains,
Aguja Saint Exupery,"2,558","8,392",Argentina,
Mount St. Helens,"2,550","8,366","Washington, US",
Big Hatchet Peak,"2,547","8,356","New Mexico, US",
Moldoveanu Peak,"2,544","8,346",Romania,
Mount Vineuo,"2,536","8,320",Papua New Guinea,
Negoiu Peak,"2,535","8,317",Romania,
Vistea Mare,"2,527","8,291",Romania,
Pidurutalagala,"2,524","8,281",Sri Lanka,
Mount Norquay,"2,522","8,274","Canadian Rockies, Canada",
Hualalai,"2,521","8,271","Hawaii, US",
Parangu Mare,"2,519","8,264",Romania,
Mount Taranaki/Egmont,"2,518","8,261",New Zealand,
Garfield Peak,"2,512","8,241","Wyoming, US",
Mount Joern,"2,510","8,235",Antarctica,
Mount Veniaminof,"2,507","8,225","Alaska, US",
Omu Peak,"2,505","8,219",Romania,
Rysy,"2,503","8,212","Tatras, Poland/Slovakia",
Mount Tymfi,"2,497","8,192","Pindus, Greece",
Monte Velino,"2,487","8,159",Abruzzo Italy,
Monte Vettore,"2,476","8,123",Abruzzo Italy,
Špik,"2,472","8,110","Julian Alps, Slovenia",
Luna Peak,"2,470","8,104","British Columbia, Canada",
Galdhøpiggen,"2,469","8,100",Norway – Highest,
Kanlaon,"2,465","8,087","Negros Occidental and Negros Oriental, Philippines",
Glittertind,"2,464","8,084",Norway,
El Capitan,"2,464","8,084","Texas, US",
Shimbiris,"2,464","8,084",Somalia,
Mayon,"2,463","8,081","Albay, Philippines",
Monte Gorzano,"2,458","8,064",Abruzzo Italy,
Mount Psiloritis,"2,456","8,058","Crete, Greece",
Mount Pachnes (Lefka Ori),"2,453","8,048","Crete, Greece",
Sulphur Mountain,"2,451","8,041","Canadian Rockies, Canada",
Sunset Crater,"2,451","8,041","Arizona, US",
Cima del Redentore (Sibillini Mountains),"2,448","8,031",Marche - Umbria Italy,
Faraya Mzaar,"2,444","8,018","Keserwan, Lebanon",
Triple Divide Peak,"2,444","8,018","Montana, US",
Blackcomb Peak,"2,436","7,992","Whistler BC, Canada",
Monte Binga,"2,436","7,992","Manica, Mozambique",
Mount Olympus,"2,432","7,979","Washington, US",
Peñalara,"2,430","7,972",Spain,
Mesa de los Tres Reyes,"2,428","7,966","Navarre, Spain – Highest point in Navarre",
Mount Daniel,"2,426","7,959","Washington, US",
Mount Murud,"2,423","7,949","Kelabit Highlands, Sarawak, Malaysia – Highest mountain in Sarawak",
Mocho,"2,422","7,946","Los Ríos Region, Chile",
Choshuenco,"2,415","7,923","Los Ríos Region, Chile",
Ivis Peak,"2,414","7,920","Los Ríos Region, Chile",
Ha Ling Peak,"2,408","7,900","Canadian Rockies, Alberta, Canada",
Store Skagastølstind,"2,405","7,890",Norway,
Hajla,"2,403","7,884",Kosovo,
Le Tabor,"2,389","7,838","Dauphine Alps, France",
Kirigalpottha,"2,388","7,835",Sri Lanka,
Maglić,"2,386","7,828",Bosnia and Herzegovina – Highest in Bosnia and Herzegovina,
Emory Peak,"2,385","7,825","Texas, US",
Mount Cayley,"2,385","7,825","British Columbia, Canada",
Mount Galwey,"2,377","7,799","Canadian Rockies, Canada",
Botev Peak,"2,376","7,795","Balkan Mountain, Bulgaria",
Mount Mulu,"2,376","7,795","Gunung Mulu National Park, Sarawak, Malaysia",
Mount Deception,"2,374","7,789","Washington, US",
Mount Aix,"2,367","7,766","Washington, US",
Mount Karthala,"2,361","7,746","Comoros, Indian Ocean",
Totapala Kanda,"2,357","7,733",Sri Lanka,
Signal Mountain,"2,353","7,720","Wyoming, US",
Mount Pico,"2,351","7,713","Azores, Portugal – Highest in Portugal",
Grimming,"2,351","7,713","Styria, Austria – Highest Monolith in Europe",
Monte Sirente,"2,347","7,700",Abruzzo Italy,
Mount Blum,"2,340","7,677",North Cascades,
Mount Popomanaseu,"2,335","7,661","Guadalcanal, Solomon Islands – Highest in Solomon Islands",
Monte Priora,"2,333","7,654",Marche Italy,
Mount Prophet,"2,330","7,644",North Cascades,
Mount Griggs,"2,317","7,602","Alaska, US",
Mount Makarakomburu,"2,310","7,579","Guadalcanal, Solomon Islands",
Lalla Khedidja,"2,308","7,572","Djurdjura Mountains, Algeria",
Lavender Peak,"2,306","7,566","British Columbia, Canada",
Pietrosul Rodnei Peak,"2,303","7,556","Rodnei Mountains, Romanian Carpathian Mountains, Romania",
Mount Sir Allan MacNab,"2,297","7,536","Premier Range, British Columbia, Canada",
Murree,"2,291","7,516","Rawalpindi, Pakistan",
Kozi Wierch,"2,291","7,516","Tatras, Poland",
Cherni Vrah,"2,290","7,513","Vitosha Mountain, Bulgaria",
Druesberg,"2,282","7,487","Alps, Switzerland",
Ineu Peak,"2,279","7,477","Rodnei Mountains, Romanian Carpathian Mountains, Romania",
Mount Huye,"2,278","7,474",Rwanda,
Bikku Bitti,"2,267","7,438",Libya – Second Highest in country,
Blue Mountains,"2,256","7,402",Jamaica – Highest in Country,
Mount Dietz,"2,250","7,382",Antarctica,
Sri Pada Mountain,"2,243","7,359",Sri Lanka,
Mount John Laurie,"2,240","7,349","Canadian Rockies, Alberta, Canada",
Red Butte,"2,232","7,323","Arizona, US",
Čvrsnica,"2,228","7,310","Herzegovina, BiH",
Mount Kosciuszko,"2,228","7,310","Snowy Mountains, New South Wales, Australia – Highest on mainland",
Camoghe,"2,228","7,310","Ticino, Switzerland",
Commonwealth Mountain,"2,225","7,300","Nunavut, Canada",
Mount Chiginagak,"2,221","7,287","Alaska, US",
Monte Terminillo,"2,217","7,274",Lazio Italy,
Slavyanka,"2,212","7,257","Pirin Mountain, Bulgaria",
