mountain,metres,feet,range,location_notes
Mount Oxford (Nunavut),"2,210","7,251","Nunavut, Canada",
Mount Townsend,"2,209","7,247","Snowy Mountains, New South Wales, Australia – Second-highest on mainland",
Black Elk Peak,"2,207","7,241","South Dakota, US – Highest in state",
Golden Hinde,"2,198","7,211","#1 on Vancouver Island, British Columbia, Canada",
Mount Twynam,"2,196","7,205","Snowy Mountains, New South Wales, Australia – Third-highest on mainland",
Elkhorn Mountain,"2,195","7,201","Vancouver Island, British Columbia, Canada",
Mount Baldy,"2,192","7,192","Alberta, Canada",
Golyam Perelik,"2,191","7,188","Rhodope Mountain, Bulgaria",
Shiprock,"2,188","7,178","New Mexico, US",
Mount Tahan,"2,187","7,175","Tahan Range, Pahang, Malaysia – Highest in Peninsular Malaysia",
Mount Korbu,"2,183","7,162","Titiwangsa Mountains, Perak, Malaysia",
Mount Yong Belar,"2,180","7,152","Perak, Malaysia",
Doi Chiang Dao,"2,175","7,136",Thailand,
Galunggung,"2,168","7,113",Java,
Levski Peak,"2,166","7,106","Balkan Mountain, Bulgaria",
Monte Cimone,"2,165","7,103",Emilia-Romagna Italy,
Mount Hua,"2,155","7,070","Shaanxi, China",
Mount Zulia,"2,149","7,051",Uganda,
Carruthers Peak,"2,145","7,037","Snowy Mountains, New South Wales, Australia",
Crna Glava,"2,139","7,018","Bjelasica, Crna Gora",
Mount Colonel Foster,"2,135","7,005","Vancouver Island, British Columbia, Canada",
Roche à Perdrix,"2,135","7,005","Fiddle Range, Canadian Rockies, Canada",
Kodaikanal,"2,133","6,998","Tamil Nadu, India",
Pilatus,"2,132","6,995",Switzerland,
Strmenica,"2,122","6,962","Bjelasica, Crna Gora",
Phu Soi Dao,"2,120","6,955",Thailand/Laos,
Eagle Peak,"2,119","6,952","Alaska, US",
Zekova Glava,"2,117","6,946","Bjelasica, Crna Gora",
Öræfajökull,"2,110","6,923",Iceland,
Mount Benum,"2,107","6,913",Malaysia,
Mogotón,"2,107","6,913",Nicaragua – Highest in Nicaragua,
Kebnekaise,"2,106","6,909",Sweden,
Rambler Peak,"2,092","6,864","Vancouver Island, British Columbia, Canada",
Mount McBride,"2,083","6,834","Vancouver Island, British Columbia, Canada",
Pico do Selado,"2,082","6,831","Monte Verde, Minas Gerais, Brazil",
Phou Khe,"2,079","6,821",Thailand/Laos,
Schneeberg,"2,076","6,811","Northern Limestone Alps, Austria",
Mount Tate,"2,068","6,785","Snowy Mountains, New South Wales, Australia",
Bjelašnica,"2,067","6,781","Sarajevo Canton, Bosnia and Herzegovina",
Kings Peak,"2,065","6,775","Vancouver Island, British Columbia, Canada",
Hoverla,"2,061","6,762",Ukraine – Highest,
Monte Miletto,"2,050","6,726",Molise Italy,
Lytton Mountain,"2,049","6,722","British Columbia, Canada",
Mount Katmai,"2,047","6,716","Alaska, US",
Mount Dimlang,"2,042","6,699","Adamawa, Nigeria",
Mount Celeste,"2,041","6,696","Vancouver Island, British Columbia, Canada",
Mount Mitchell,"2,037","6,683","Yancey County, North Carolina, US - the highest peak of the Appalachian Mountains and the highest peak in mainland eastern North America",
Namunukula,"2,035","6,677",Sri Lanka,
Pico do Barbado,"2,033","6,670","Bahia, Brazil – Highest point in Bahia",
Mount Batu Brinchang,"2,032","6,667","Cameron Highlands, Pahang/Perak, Malaysia",
Doi Mae Tho,"2,031","6,663",Thailand,
Clingmans Dome,"2,025","6,644","Great Smoky Mountains, Tennessee, US",
Mount Heng (Shanxi),"2,017","6,617","Shanxi, China",
Kopaonik,"2,017","6,617","Pančić's Peak, Serbia",
Alpe di Succiso,"2,017","6,617",Province of Reggio Emilia Italy,
Kom,"2,016","6,614","Balkan Mountain, Bulgaria",
Polar Bear Peak,"2,016","6,614","Chugach Mountains, Alaska, US",
Mount Asgard,"2,015","6,611","Baffin Mountains, Nunavut, Canada",
Mount Le Conte,"2,010","6,594","Great Smoky Mountains, Tennessee, US",
Serra da Estrela,"1,993","6,539",Portugal,
Mount Bogong,"1,986","6,516",Australia – Highest in Victoria,
Mount Ishizuchi,"1,982","6,503",Japan – Tallest in Western Japan,
Doi Phu Kha,"1,980","6,496","Luang Prabang Range, Thailand",
Pizzo Carbonara,"1,979","6,493",Province of Palermo Sicily,
Topo de Coroa,"1,979","6,493",Cape Verde,
Mount Tongariro,"1,978","6,490",New Zealand,
Iceberg Peak,"1,977","6,486","Vancouver Island, British Columbia, Canada",
Pico Turquino,"1,975","6,480",Cuba – Highest point,
El Piveto Mountain,"1,969","6,460","Vancouver Island, British Columbia, Canada",
Qiajivik Mountain,"1,963","6,440","Baffin Island, Nunavut, Canada",
Monte Tamaro,"1,962","6,437","Ticino, Switzerland",
Farcau Peak,"1,956","6,417",Romania,
Montalto (Aspromonte),"1,955","6,414",Calabria Italy,
Ciucas Peak,"1,954","6,411",Romania,
Chionistra,"1,952","6,404",Cyprus,
Hallasan,"1,950","6,398","Jejudo, South Korea – Highest Mountain in South Korea",
Jabal Bil Ays,"1,934","6,345",Oman,
Mullayanagiri,"1,930","6,332","Chikmagalur, Karnataka, India",
Helvetia Tinde,"1,929","6,329","Roosevelt Range – Highest peak in Peary Land, Northern Greenland",
Botte Donato,"1,928","6,325","Sila Mountains, Calabria, Italy",
Mount Kirigamine,"1,925","6,316",Japan,
Mount Washington,"1,917","6,289","Presidential Range, White Mtns., Appalachian Mountains, US – Highest in American Northeast",
Mount Siku,"1,915","6,283","Pahang, Malaysia",
Mount Jiri,"1,915","6,283",South Korea,
Troglav,"1,913","6,276","Highest peak of mountain Dinara, Bosnia and Herzegovina",
Mont Ventoux,"1,909","6,263",France,
Ocolasu Mare,"1,907","6,257",Romania,
Mount Toaca,"1,900","6,234",Romania,
Vesper Peak,"1,896","6,220","Washington, US",
Baba Budangiri,"1,895","6,217","Chikmagalur, Karnataka, India",
Narodnaya,"1,895","6,217","Subpolar Urals, Russia",
Kudremukh,"1,894","6,214","Chikmagalur, Karnataka, India",
Orjen,"1,894","6,214","Montenegro, Bosnia and Herzegovina",
Iskhodnaya,"1,887","6,191",Russia – Highest of the Chukotka Mountains,
Mount George V,"1,883","6,178","Vancouver Island, British Columbia, Canada",
Rugged Mountain,"1,875","6,152","Vancouver Island, British Columbia, Canada",
Agastya Mala,"1,868","6,129","Tamil Nadu/Kerala, India",
Trident Volcano,"1,864","6,115","Alaska, US",
Mount Martin,"1,863","6,112","Alaska, US",
Knuckles,"1,862","6,109",Sri Lanka,
Pico Ruivo,"1,861","6,106","Madeira, Portugal",
Budacu,"1,859","6,099",Romania,
Giumalau,"1,856","6,089",Romania,
Pico das Torres,"1,853","6,079","Madeira, Portugal",
Mont Ross,"1,850","6,070","Gallieni Massif, Kerguelen Islands",
Cucurbata Mare,"1,849","6,066",Romania,
Monte Soro,"1,847","6,060",Province of Messina Sicily,
Crown Mountain,"1,846","6,056","Vancouver Island, British Columbia, Canada",
Tibles,"1,839","6,033",Romania,
Loser,"1,838","6,030",Austria,
Vladeasa,"1,836","6,024",Romania,
Punta La Marmora,"1,834","6,017",Sardinia,
Sinjal,"1,831","6,007",Mountain Dinara – Highest peak of Croatia,
Cerro La Campana,"1,828","5,997","Olmue, Chile",
Gora Nevskaya,"1,828","5,997","Magadan Oblast, Russia – Highest of the Kolyma Mountains",
Muntele Mare,"1,826","5,991",Romania,
Cerro de la Silla,"1,820","5,971",Mexico,
Pico do Arieiro,"1,818","5,965","Madeira, Portugal",
Biligiriranga Hills,"1,800","5,906","Chamarajanagar, Karnataka, India",
Monte Maggiorasca,"1,799","5,902",liguria - Emilia-Romagna Italy,
Rigi,"1,797","5,896",Swiss Alps,
Hășmașu Mare,"1,792","5,879",Romania,
Pietrosu Peak,"1,791","5,876",Romania,
Goru,"1,784","5,853",Romania,
Blokhin Peak,"1,779","5,837","Chukotka, Russian Federation – Highest in Anyuy Range",
Velliangiri Mountains,"1,778","5,833","Coimbatore , Tamil Nadu, India",
Lacaut,"1,777","5,830",Romania,
Saca Peak,"1,776","5,827",Romania,
Penteleu,"1,772","5,814",Romania,
Mount Veve,"1,768","5,801","Kolombangara, Solomon Islands",
Mount Adams,"1,766","5,794","New Hampshire, US",
Monte Gariglione,"1,764","5,787","Sila Mountains, Calabria, Italy",
Sveti Jure (Saint George),"1,762","5,781","Mountain Biokovo, Croatia",
Pik Sovetskoy Gvardii,"1,759","5,771","Chukotka, Russian Federation",
Vaganski vrh,"1,757","5,764","Mountain Velebit, Croatia",
Mount Api,"1,750","5,741","Gunung Mulu National Park, Sarawak, Malaysia",
Lovćen,"1,749","5,738",Montenegro,
Tadiandamol,"1,748","5,735","Kodagu, Karnataka, India",
Mount Rogers,"1,746","5,728","Virginia, US – Highest point in state",
Doi Phi Pan Nam,"1,745","5,725","Luang Prabang Range, Thailand",
Mount Wilson,"1,742","5,715","California, US",
Mount Jefferson,"1,741","5,712","New Hampshire, US",
Monte Amiata,"1,738","5,702",Province of Grosseto Italy,
Daisen,"1,729","5,673",Japan,
The Horn (Mount Buffalo),"1,723","5,653","Victoria, Australia",
Mount Batur,"1,717","5,633","Bali, Indonesia",
Kumara Parvata,"1,712","5,617","Dakshina Kannada, Karnataka, India",
Pushpagiri,"1,712","5,617","Pushpagiri Wildlife Sanctuary, Karnataka, India",
Mount Lowe,"1,707","5,600","San Gabriel Mountains, California, US",
Boulder Peak,"1,707","5,600","Olympic Mountains, Washington, US",
Doi Luang,"1,694","5,558",Thailand – Highest in the Phi Pan Nam Range,
Mitre Peak,"1,692","5,551",New Zealand,
Arma Konda,"1,680","5,512",India – Highest in Andhra Pradesh,
Deomali,"1,672","5,486",India – Highest in Odisha,
Mount Caubvik,"1,652","5,420","Torngat Mountains, Canada",
Kalsubai,"1,646","5,400",India – Highest in Maharashtra State,
Rarau,"1,650","5,413",Romania,
Peak 5390,"1,643","5,390","Alaska, US",
Yamantau,"1,640","5,381","Southern Urals, Russia",
Mount Monroe,"1,637","5,371","New Hampshire, US",
Mount Madison,"1,636","5,367","New Hampshire, US",
Mount Krebs,"1,630","5,348",Antarctica,
Mount Marcy,"1,629","5,344","New York, US",
Trebević,"1,627","5,338",Bosnia and Herzegovina,
Mount Bartle Frere,"1,622","5,322","Queensland, Australia",
Rocca Busambra,"1,613","5,292",Province of Palermo Sicily,
Velky Rozsutec,"1,610","5,282","Mala Fatra, Slovakia",
Brahmagiri,"1,608","5,276","Kodagu, Karnataka, India",
Mount Katahdin,"1,606","5,269","Maine, US",
Sněžka,"1,602","5,256","Krkonoše, Czech Republic – #1 in Czech Republic",
Sirumalai,"1,600","5,249",Tamil Nadu India,
Mount Lafayette,"1,600","5,249","New Hampshire, US",
Mount Washington (British Columbia),"1,590","5,217","Vancouver Island, British Columbia, Canada",
Mount Benarat,"1,585","5,200","Gunung Mulu National Park, Sarawak, Malaysia",
Wai'ale'ale,"1,569","5,148","Kauai, Hawaii, US",
Salher,"1,567","5,141","Maharashtra, India",
Cirque Mountain,"1,567","5,141","Labrador, Canada",
Mount Lincoln,"1,551","5,089","New Hampshire, US",
Superstition Mountain,"1,542","5,059","Arizona, US",
Mount Tai,"1,532","5,026","Shandong, China",
Jabel Yibir,"1,527","5,010",United Arab Emirates,
Madikeri,"1,525","5,003","Kodagu, Karnataka, India",
Mount Popa,"1,518","4,980",Myanmar,
Askja,"1,516","4,974",Iceland,
Monte Boglia,"1,516","4,974","Ticino, Switzerland",
Kamakau,"1,512","4,961","Molokai, Hawaii, US",
Song Shan,"1,512","4,961","Henan, China",
Pico de Malpaso,"1,501","4,925","Canary Islands, Spain",
Javaleon,"1,494","4,902",Spain,
Mount Nuang,"1,491","4,892","Titiwangsa Mountains, Malaysia",
Hekla,"1,491","4,892",Iceland,
Mount Pinatubo,"1,486","4,875","Luzon, Philippines",
Spruce Knob,"1,482","4,862","West Virginia, US",
Lyaskovets Peak,"1,473","4,833",Antarctica,
Mount Olympus,"1,471","4,826","Tasmania, Australia",
Agriolefkes,"1,471","4,826","Pelion, Greece",
La Grande Soufrière,"1,467","4,813","Guadeloupe, France",
Monte Penice,"1,460","4,790",Lombardy - Emilia-Romagna Italy,
Mount Seymour,"1,455","4,774","British Columbia, Canada",
Himavad Gopalaswamy Betta,"1,450","4,757","Chamarajanagar, Karnataka, India",
Snæfellsjökull,"1,446","4,744",Iceland,
Gutai Peak,"1,443","4,734",Romania,
Mount Kalourat,"1,435","4,708","Malaita, Solomon Islands",
Mount Woodroffe,"1,435","4,708",South Australia,
Cypress Mountain,"1,432","4,698","British Columbia, Canada",
Taramati,"1,431","4,695","Maharashtra, India",
Harishchandragad,"1,427","4,682","Maharashtra, India",
Tukgahgo Mountain,"1,425","4,675","Alaska, US",
Raireshwar,"1,398","4,587","Maharashtra, India",
Taburno Camposauro,"1,393","4,570",Campania Italy,
Parasnath,"1,366","4,482",India – Highest in Jharkhand State,
Dhupgarh,"1,350","4,429",India – Highest in Madhya Pradesh,
Ben Nevis,"1,345","4,413","Scotland, United Kingdom – Highest in the United Kingdom",
Kodachadri,"1,343","4,406","Shimoga, Karnataka, India",
Mount Jiuhua,"1,342","4,403","Anhui, China",
Mount Aniakchak,"1,341","4,400","Alaska, US",
Mount Mansfield,"1,339","4,393","Green Mountains, Vermont, US",
Cerro de Punta,"1,338","4,390","Jayuya, Puerto Rico – Highest in Puerto Rico",
Mount Bassie,"1,311","4,301","Alaska, US",
Ben Macdui,"1,309","4,295",Scotland,
Mount Kanaga,"1,307","4,288","Alaska, US",
Sinhagad,"1,303","4,275","Maharashtra, India",
Mount Heng (Hunan),"1,300","4,265","Hunan, China",
Rajabasa,"1,281","4,203","Sumatra, Indonesia",
Mount Vesuvius,"1,281","4,203",Italy,
Mount Ophir,"1,276","4,186","Titiwangsa Mountains, Johor, Malaysia",
Bailadila,"1,276","4,186",India – Highest in Chhattisgarh State,
Mount Wellington,"1,271","4,170","Tasmania, Australia",
Mount Si,"1,270","4,167","Washington, US",
Mount Qingcheng,"1,260","4,134","Sichuan, China",
Detunata,"1,258","4,127",Romania,
Mount Donna Buang,"1,250","4,101","Victoria, Australia",
Camel's Hump,"1,244","4,081","Vermont, US",
Cannon Mountain,"1,240","4,068","New Hampshire, US",
The Priest,"1,238","4,062","Blue Ridge Mountains, Virginia, US",
Grouse Mountain,"1,231","4,039","British Columbia, Canada",
Kaʻala,"1,220","4,003","Oahu, Hawaii, US",
Mount Jerai,"1,217","3,993","Titiwangsa Mountains, Kedah, Malaysia",
Mount Meron,"1,208","3,963","Galilee, Israel – Highest in Israel (inside the '67 borders)",
Mount Fromme,"1,185","3,888","British Columbia, Canada",
Doi Ian,"1,174","3,852","Phi Pan Nam Range, Thailand",
Mount Diablo,"1,173","3,848","California, US",
Mount Hombori,"1,155","3,789",Mali – Highest in Mali,
Bidean nam Bian,"1,150","3,773",Scotland,
Monte Musinè,"1,150","3,773","Piedmont, Italy",
Brocken,"1,141","3,743","Saxony-Anhalt, Germany – Highest mountain in the Harz; highest in Saxony-Anhalt",
Victoria Peak,"1,120","3,675",Belize – 2nd highest mountain in Belize,
Gora Sovetskaya,"1,096","3,596","Wrangel Island, Chukotka – Highest in Wrangel Island",
Kayser Mountain,"1,094","3,589","Greenland, Denmark",
Mount Juneau,"1,090","3,576","Alaska, US",
Snowdon,"1,085","3,560","Gwynedd, Wales, United Kingdom – Highest in Wales",
Tafelberg,"1,085","3,560",South Africa,
Flattop Mountain,"1,070","3,510","Alaska, US",
Uummannaq,"1,070","3,510",Greenland,
White Butte,"1,069","3,507","North Dakota, US – Highest in state",
Hogback Mountain,"1,059","3,474","Virginia, US",
Liathach,"1,055","3,461","Torridon, Scotland",
Saka Haphong,"1,052","3,451","Bandarban, Bangladesh",
Cambirela,"1,043","3,422","Palhoça, Brazil",
Corrán Tuathail,"1,038","3,406","County Kerry, Ireland – Highest mountain in Ireland",
Mount Ramon,"1,037","3,402","Negev, Israel",
Girnar,"1,031","3,383","– Gujarat, India",
Mount Zagora,"1,030","3,379",Morocco,
Buachaille Etive Mor,"1,022","3,353","Glen Etive, Scotland",
Munboksan,"1,015","3,330",South Korea,
Kékes,"1,014","3,327",Hungary – Highest mountain in Hungary,
Mount Belumut,"1,010","3,314","Johor, Malaysia",
Old Rag Mountain,"1,001","3,284","Virginia, US",
Magura Priei,996,"3,268",  ,Romania
Sgurr Dearg,986,"3,235",Cuillin  ,Scotland
Mount Sizer,980,"3,215",Diablo Range  ,US (California)
Mount Valin,980,"3,215",Saguenay Lac St-Jean  ,Canada (Québec)
Hyangnosan,979,"3,212",  ,"Gyeongnam Province, South Korea"
Scafell Pike,978,"3,209",Southern Fells  ,England (Cumbria) – Highest in England
Mount Edgecumbe,976,"3,202",   ,US (Alaska)
Grand Bonhomme,973,"3,192",  ,Saint Vincent and the Grenadines
North Mountain (Catskills),969,"3,179",Catskill Escarpment  ,US (New York)
Doli Gutta,965,"3,166",Deccan Plateau  ,India – Highest in Telangana State
Mount Monadnock,965,"3,166",  ,US (New Hampshire) – One of the most frequently climbed in the world
Mount Pirongia,959,"3,146",Hakarimata Range  ,New Zealand
Tai Mo Shan,957,"3,140",  ,Hong Kong – Highest in Hong Kong
Chimneytop,950.1,"3,117",Bays Mountain Range  ,"Tennessee, US"
Helvellyn,950,"3,117",Eastern Fells  ,England (Cumbria)
Mount Gimie,950,"3,117",  ,Saint Lucia – Highest point
El Cerro del Aripo,940,"3,084",Northern Range  ,Trinidad and Tobago – Highest point
El Tucuche,936,"3,071",Northern Range  ,Trinidad and Tobago
Lantau Peak,934,"3,064",  ,Hong Kong
Betlingchhip,930,"3,051",Jampui Hills  ,India – Highest in Tripura
Kaimondake volcano,924,"3,031",  ,"Kagoshima, Japan"
San Salvatore,912,"2,992",  ,"Ticino, Switzerland"
Pantokrator,906,"2,972",  ,Greece (Corfu)
Edinburgh Peak,904,"2,966",  ,"Tristan Da Cunha, UK"
Cadair Idris,893,"2,930",  ,Wales
Pen y Fan,886,"2,907",  ,Wales
Baekunsan,885,"2,904",  ,"Ulsan, South Korea"
Mount Gerizim,881,"2,890",  ,West Bank
Sunset Peak,869,"2,851",  ,Hong Kong
Mahuli,858,"2,815",  ,"Thane District, Maharashtra, India"
Mount Taylor,856,"2,808",  ,"Canberra, Australia"
Slieve Donard,856,"2,808",Mourne Mountains  ,"County Down, Northern Ireland"
Tinakula,851,"2,792",Tinakula  ,Solomon Islands
Muntele Cetatuia,850,"2,789",  ,Romania
Mount Saint Catherine,840,"2,756",  ,Grenada – Highest Point
Mount Magazine,839,"2,753",Ozark Mountains  ,"Arkansas, US"
Hoemunsan,837,"2,746",  ,"North Jeolla Province, South Korea"
Bukhansan (Baegundae Peak),836.5,"2,744",  ,"Seoul, South Korea"
Drocea,836,"2,743",  ,Romania
Piton de la Petite Rivière Noire,828,"2,717",  ,"Black River Mountain Range, Mauritius"
Pieter Both,820,"2,690",  ,Mauritius
Mount Carleton,817,"2,680",Appalachian Mountains  ,Canada (New Brunswick)
The Cheviot,815,"2,674",Cheviot Hills  ,England (Northumberland)
Le Pouce,811,"2,661",  ,Mauritius
Mount Santubong,810,"2,657",  ,Malaysia (Sarawak)
Gros Morne,807,"2,648",  ,Canada (Newfoundland)
Clisham,799,"2,621",  ,"Harris, Western Isles, Scotland"
Mount Tamalpais,792,"2,598",California Coast Ranges  ,US (California)
Mission Peak,790,"2,592",Diablo Range  ,US (California)
Gyemyeongsan,774,"2,539",  ,"North Chungcheong Province, South Korea"
Mount Boucherie,758,"2,487",  ,Canada (British Columbia)
Daeunsan,742,"2,434",  ,South Korea
Mount Dobong,740,"2,428",  ,South Korea
Mount Lofty,727,"2,385",  ,South Australia
Ben Cleuch,721,"2,365",  ,Scotland
Corps de Garde,720,"2,362",  ,Mauritius
Gaseopsan,710,"2,329",  ,"North Chungcheong Province, South Korea"
Mount Dick,705,"2,313",  ,"Auckland Islands, New Zealand"
Piton Savanne,704,"2,310",  ,Mauritius
Pu‘u ‘Ō‘ō,698,"2,290",  ,US (Hawaii)
Signal de Botrange,694,"2,277",High Fens  ,Belgium (Liège) – Highest in Belgium
Ishpatina Ridge,690,"2,264",  ,Canada (Ontario)
Curepipe Point,686,"2,251",  ,Mauritius
Galgisan,685,"2,247",  ,"Gyeonggi Province and Gangwon Province, South Korea"
Delphi,681,"2,234",  ,Greece (Skopelos)
Qalorujoorneq,676,"2,218",  ,Greenland
Lion's Head,669,"2,195",  ,"Cape Town, South Africa"
Les Trois Mamelles,666,"2,185",  ,Mauritius
Steling,658,"2,159",High Fens  ,Belgium
Maple Mountain,642,"2,106",  ,Canada (Ontario)
Mountain Lagrave (Montage Lagrave),638,"2,093",  ,Mauritius
Kinder Scout,636,"2,087",  ,"Peak District, England – Highest in Peak District"
Masaya,635,"2,083",  ,Nicaragua
Calebasses Mountain (Montagne Calebasses),632,"2,073",  ,Mauritius
Mount D'Urville,630,"2,067",  ,"Auckland Islands, New Zealand"
Moel Eilio,629,"2,064",  ,"Snowdonia, Wales"
High Willhays,621,"2,037",  ,England (Dartmoor)
Snaefell,621,"2,037",  ,"Isle of Man, British Isles"
Beinn Mhòr,620,"2,034",  ,"South Uist, United Kingdom"
Munsusan (Ulsan),600,"1,969",  ,"Ulsan, South Korea"
Mount Takao,599,"1,965",  ,"Tokyo, Japan"
Piton de Fouge,596,"1,955",  ,Mauritius
Sikjangsan,596,"1,955",  ,"Daejeon, South Korea"
Forbordsfjellet,590,"1,936",  ,"Nord-Trøndelag, Norway"
Piton du Millieu,589,"1,932",  ,Mauritius
Gwanggyosan,582,"1,909",  ,"Gyeonggi Province, South Korea"
Mount Pond,576,"1,890",  ,South Shetland Islands
Mount Tabor,575,"1,886",  ,"Galilee, Israel"
Monte Conero,572,"1,877",  ,Italy (Ancona)
Gyeryongsan,566,"1,857",  ,"South Gyeongsang Province, South Korea"
Mount Honey,558,"1,831",  ,"Campbell Islands, New Zealand"
Le Morne Brabant,555,"1,821",  ,Mauritius
Tourelle du Tamarin,548,"1,798",  ,Mauritius
Rempart Mountain (Montagne du Rempart),545,"1,788",  ,Mauritius
Palasip Qaqqaa (Præstefjeldet),544,"1,785",  ,"Qeqqata, Greenland"
Namamsan,543,"1,781",  ,"Ulsan, South Korea"
Taum Sauk Mountain,540,"1,772",  ,"Missouri, US"
Great Mell Fell,537,"1,762",Eastern Fells  ,England (Cumbria)
Geomdansan (Seongnam),534.7,"1,754",  ,"Gyeonggi Province, South Korea"
Mountain Blanche (Montagne Blanche),532,"1,745",  ,Mauritius
Yeonhwasan,532,"1,745",  ,"Ulsan, South Korea"
Heukseongsan,519,"1,703",  ,"North Chungcheong Province, South Korea"
Avala,511,"1,677",  ,Serbia
Mountain La Terre (Mont La Terre),504,"1,654",  ,Mauritius
Lion Mountain (Montagne Lion),480,"1,575",  ,Mauritius
Little Si,480,"1,575",Cascade Range  ,"Washington, US"
Mount Ramsay,475,"1,558",  ,Antarctica
Tutuiatu Peak,467,"1,532",  ,Romania
Mount Keira,462,"1,516",  ,"New South Wales, Australia - near the city of Wollongong"
Pu'u Moaulanui,452,"1,483",  ,"Kahoolawe, Hawaii"
Blue Mountain,452,"1,483",  ,"Ontario, Canada"
Muryongsan (Ulsan),452,"1,483",  ,"Ulsan, South Korea"
Dongdaesan (Ulsan),447,"1,467",  ,"Ulsan, South Korea"
Diamond Hill,442,"1,450",Connemara National Park  ,Ireland
Gibraltar,426,"1,398",  ,Gibraltar
Pic Paradis,424,"1,391",  ,Saint Martin (France) – Highest point
Havsula,415,"1,362",  ,"Svalbard, Norway"
Storm King Mountain,408,"1,339",Hudson Highlands  ,US (New York)
Gyeyangsan,395,"1,296",  ,"Incheon, South Korea"
Mount Galloway,366,"1,201",  ,"Antipode Islands, New Zealand"
Pawala Valley Ridge,347,"1,138",  ,Pitcairn Islands (United Kingdom) – Highest point
Loughrigg Fell,335,"1,099",Central Fells  ,England (Cumbria)
Mount Kinka (Gifu),329,"1,079",  ,"Gifu, Japan"
Vaalserberg,321,"1,053",  ,Netherlands (Limburg)
Mount Bates,319,"1,047","Norfolk Island, Australia  ",{{{4}}}
Suur Munamägi,318,"1,043",  ,"Haanja, Estonia"
Gaiziņkalns,312,"1,024",  ,Latvia – Highest Point in Latvia
Mutla Ridge,306,"1,004",  ,Kuwait – Highest point
Aukštojas,293.84,964,  ,"Medininkai, Lithuania"
Kruopinė,293.65,963,  ,"Vilnius, Lithuania"
Juozapinė,292.7,960,  ,"Vilnius, Lithuania"
Morne du Vitet,286,938,  ,Saint Barthélemy (France) – Highest point
Qixia Mountain,286,938,  ,"Nanjing, China"
Hwajangsan,285,935,  ,"Ulsan, South Korea"
Potolaka/Putuo Shan,284,932,  ,"Zhejiang, China"
Westmacott,253,830,  ,"New South Wales, Australia"
Jerimoth Hill,247,810,  ,"Rhode Island, US"
Mount Ngerchelchuus,242,794,  ,"Babeldaob, Palau – Highest point"
Diamond Head,232,761,  ,US (Hawaii)
Yeomposan,203,666,  ,"Ulsan, South Korea"
Hamwolsan,200,656,  ,"Ulsan, South Korea"
Great Blue Hill,193.5,635,  ,"Massachusetts, US"
Alto de Coloane,170,558,  ,Macau – Highest point
Bukit Timah Hill,164,538,  ,Singapore – Highest point
Les Platons,143,469,  ,Jersey (United Kingdom) – Highest point
Aborrebjerg,143,469,  ,"Møn, Denmark"
Māngere Mountain,107,351,  ,New Zealand
Britton Hill,105,344,  ,"Florida, US – The lowest high point of any U.S. state"
Qurayn Abu al Bawl,103,338,  ,Qatar – Highest point
Command Ridge,71,233,  ,Nauru – Highest point
Mount Wycheproof,43,141,  ,"Victoria, Australia – smallest mountain"
Hoge Blekker,35,115,  ,"West Flanders, Belgium – Shortest mountain in Belgium"
Bentenyama,6.1,20,  ,"Tokushima, Tokushima Prefecture, Japan"
Mount Tenpō,4.53,15,  ,"Osaka, Japan"
Mount Pleasant,5,16,  ,"Texas, US – Shortest Mountain in Texas"
Tianzhong Mountain,3.6,12,  ,"Henan Province, China"
Mount Hiroyama,3,10,  ,"Sendai, Japan – Shortest Mountain in Japan"
Jing Mountain [yue],0.6,2,  ,"Shandong Province, China – Shortest Mountain in China"